symbol,alert_date,strategy,entry_price,quantity,trade_entry_date,match_type
ACHR,2025-05-15,BreakFutPennies-hold-3MACDVx-Hi10VolumeBOAlt-W,9.15,100.0,2025-05-13T00:00:00,TRADE_2D_BEFORE_ALERT
ACHR,2025-05-15,BreakFutPennies-hold-3MACDVx-Hi10VolumeBOAlt-W,9.15,200.0,2025-05-13T00:00:00,TRADE_2D_BEFORE_ALERT
MVST,2025-05-15,BreakFutPennies-hold-3MACDVx-Hi10VolumeBOAlt-W,3.3,500.0,2025-05-16T00:00:00,TRADE_1D_AFTER_ALERT
MVST,2025-05-15,BreakFutPennies-hold-3MACDVx-Hi10VolumeBOAlt-W,3.29,500.0,2025-05-16T00:00:00,TRADE_1D_AFTER_ALERT
GOGO,2025-05-15,BreakFutPennies-hold-4barWedgePopSetup,12.62,150.0,2025-05-16T00:00:00,TRADE_1D_AFTER_ALERT
EXAS,2025-05-15,BreakFutPennies-hold-3MACDVx-lowVolume,54.87,30.0,2025-05-14T00:00:00,TRADE_1D_BEFORE_ALERT
FLGT,2025-05-16,BreakFutPennies-36/144MACDVxSig0,20.33,200.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
FLGT,2025-05-16,BreakFutPennies-36/144MACDVxSig0,20.36,240.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
ASTS,2025-05-16,BreakFutPennies-holdingsactual-curl,27.6,125.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
ASTS,2025-05-16,BreakFutPennies-holdingsactual-curl,27.57,100.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
EVLV,2025-05-16,BreakFutPennies-holdingsactual-curl,5.11,400.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
FLGT,2025-05-16,BreakFutPennies-holdingsactual-curl,20.33,200.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
FLGT,2025-05-16,BreakFutPennies-holdingsactual-curl,20.36,240.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
NNE,2025-05-16,BreakFutPennies-holdingsactual-curl,27.48,100.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
NNE,2025-05-16,BreakFutPennies-holdingsactual-curl,27.39,100.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
PDYN,2025-05-16,BreakFutPennies-holdingsactual-curl,6.59,300.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
PDYN,2025-05-16,BreakFutPennies-holdingsactual-curl,7.16,200.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
VST,2025-05-16,BreakFutPennies-holdingsactual-curl,157.0,20.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
ASTS,2025-05-16,BreakFutPennies-hold-3MACDVx-lowVolume,27.6,125.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
ASTS,2025-05-16,BreakFutPennies-hold-3MACDVx-lowVolume,27.57,100.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
EVLV,2025-05-16,BreakFutPennies-hold-3MACDVx-lowVolume,5.11,400.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
ASTS,2025-05-16,BreakFutPennies-holdings-NRSqz-MACDVCross,27.6,125.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
ASTS,2025-05-16,BreakFutPennies-holdings-NRSqz-MACDVCross,27.57,100.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
ASPI,2025-05-16,BreakFutPennies-holdingsactual-curl,6.82,200.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
ASPI,2025-05-16,BreakFutPennies-holdingsactual-curl,6.82,200.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
PSIX,2025-05-16,BreakFutPennies-holdingsactual-curl,37.98,100.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
QBTS,2025-05-16,BreakFutPennies-holdingsactual-curl,12.08,150.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
QBTS,2025-05-16,BreakFutPennies-holdingsactual-curl,12.08,150.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
QBTS,2025-05-16,BreakFutPennies-holdingsactual-curl,12.02,300.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
JOBY,2025-05-16,BreakFutPennies-Hi9BodyBkOut-4/9/36EMA^DI+xUp-W,6.99,400.0,2025-05-13T00:00:00,TRADE_3D_BEFORE_ALERT
EVLV,2025-05-16,BreakFutPennies-Hi18Body-R18<=R18[9]-^AvgVol-MACDV,5.11,400.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
MARA,2025-05-16,BreakFutPennies-4/144MACDVxMaxSig0,16.47,100.0,2025-05-21T00:00:00,TRADE_5D_AFTER_ALERT
EVLV,2025-05-16,BreakFutPennies-holdingsactual-burst,5.11,400.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
EVLV,2025-05-16,BreakFutPennies-hold-3MACDVx-Hi10VolumeBOAlt,5.11,400.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
EVLV,2025-05-16,BreakFutPennies-hold-3MACDV-Hi10Volume-Hi9BodyBO,5.11,400.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
EVLV,2025-05-16,BreakFutPennies-hold-3MACDV-Hi10VolumeBreakout,5.11,400.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
ARQQ,2025-05-16,BreakFutPennies-holdingsactual-DI2CrossPctBVol>100,16.5,50.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
ARQQ,2025-05-16,BreakFutPennies-holdingsactual-DI2CrossPctBVol>100,16.5,50.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
EVLV,2025-05-16,BreakFutPennies-holdings-BigVolumeUp-Daily,5.11,400.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
ARQQ,2025-05-16,BreakFutPennies-hold-3MACDVcross-Hi10VolumeBO,16.5,50.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
ARQQ,2025-05-16,BreakFutPennies-hold-3MACDVcross-Hi10VolumeBO,16.5,50.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
SIBN,2025-05-16,BreakFutPennies-holdingsactual-curl,18.83,100.0,2025-05-16T00:00:00,SAME_DAY_ENTRY
